code,locale,name,descr
D01,en,Corporate Procurement Group,Responsible for procurement and sourcing activities
D02,en,Research & Development,Responsible for innovation and product development
D03,en,Marketing,Responsible for marketing and brand management
D04,en,Sales,Responsible for sales and customer relationships
D05,en,Human Resources,Responsible for employee management and development
D06,en,New Business Development,Responsible for identifying new business opportunities
D07,en,Total Quality Management,Responsible for quality assurance and continuous improvement
D08,en,Finance,Responsible for financial planning and accounting
D09,en,Information Technology / Digital Transformation,Responsible for IT infrastructure and digital initiatives
D10,en,Office of the Chairman,Executive office of the Chairman
D11,en,Office of the President,Executive office of the President
D12,en,Food Service Group,Responsible for food service operations
